nome,anno,prezzo,km,motore,potenza,categoria,sorgente,tipo,rarità,colore,Set
Maruti Swift Dzire VDI,2014.0,450000.0,145500.0,1248 CC,74 bhp,auto,df_auto,,,,
Skoda Rapid 1.5 TDI Ambition,2014.0,370000.0,120000.0,1498 CC,103.52 bhp,auto,df_auto,,,,
Honda City 2017-2020 EXi,2006.0,158000.0,140000.0,1497 CC,78 bhp,auto,df_auto,,,,
Hyundai i20 Sportz Diesel,2010.0,225000.0,127000.0,1396 CC,90 bhp,auto,df_auto,,,,
Maruti Swift VXI BSIII,2007.0,130000.0,120000.0,1298 CC,88.2 bhp,auto,df_auto,,,,
Hyundai Xcent 1.2 VTVT E Plus,2017.0,440000.0,45000.0,1197 CC,81.86 bhp,auto,df_auto,,,,
Maruti Wagon R LXI DUO BSIII,2007.0,96000.0,175000.0,1061 CC,57.5 bhp,auto,df_auto,,,,
Maruti 800 DX BSII,2001.0,45000.0,5000.0,796 CC,37 bhp,auto,df_auto,,,,
Toyota Etios VXD,2011.0,350000.0,90000.0,1364 CC,67.1 bhp,auto,df_auto,,,,
Ford Figo Diesel Celebration Edition,2013.0,200000.0,169000.0,1399 CC,68.1 bhp,auto,df_auto,,,,
Renault Duster 110PS Diesel RxL,2014.0,500000.0,68000.0,1461 CC,108.45 bhp,auto,df_auto,,,,
Maruti Zen LX,2005.0,92000.0,100000.0,993 CC,60 bhp,auto,df_auto,,,,
Maruti Swift Dzire VDi,2009.0,280000.0,140000.0,1248 CC,73.9 bhp,auto,df_auto,,,,
Maruti Swift 1.3 VXi,2007.0,200000.0,80000.0,,,auto,df_auto,,,,
Maruti Wagon R LXI Minor,2009.0,180000.0,90000.0,1061 CC,67 bhp,auto,df_auto,,,,
Mahindra KUV 100 mFALCON G80 K8 5str,2016.0,400000.0,40000.0,1198 CC,82 bhp,auto,df_auto,,,,
Maruti Ertiga SHVS VDI,2016.0,778000.0,70000.0,1248 CC,88.5 bhp,auto,df_auto,,,,
Hyundai i20 1.4 CRDi Asta,2012.0,500000.0,53000.0,1396 CC,90 bhp,auto,df_auto,,,,
Maruti Alto LX,2002.0,150000.0,80000.0,796 CC,46.3 bhp,auto,df_auto,,,,
Hyundai i20 2015-2017 Asta 1.4 CRDi,2016.0,680000.0,100000.0,1396 CC,88.73 bhp,auto,df_auto,,,,
Mahindra Verito 1.5 D4 BSIII,2011.0,174000.0,100000.0,1461 CC,64.1 bhp,auto,df_auto,,,,
Honda WR-V i-DTEC VX,2017.0,950000.0,50000.0,1498 CC,98.6 bhp,auto,df_auto,,,,
Maruti Swift Dzire ZDI,2015.0,525000.0,40000.0,1248 CC,74 bhp,auto,df_auto,,,,
Maruti SX4 ZDI,2012.0,600000.0,72000.0,1248 CC,88.8 bhp,auto,df_auto,,,,
Tata Tigor 2017-2020 XZ,2018.0,500000.0,35000.0,1199 CC,83.81 bhp,auto,df_auto,,,,
Maruti Baleno Delta 1.2,2016.0,575000.0,45000.0,1197 CC,83.1 bhp,auto,df_auto,,,,
Maruti Alto 800 LXI,2017.0,275000.0,28000.0,796 CC,47.3 bhp,auto,df_auto,,,,
Chevrolet Enjoy TCDi LTZ 7 Seater,2013.0,300000.0,70000.0,1248 CC,73.8 bhp,auto,df_auto,,,,
Maruti Wagon R LXI Minor,2009.0,220000.0,120000.0,1061 CC,67 bhp,auto,df_auto,,,,
Maruti Omni E MPI STD BS IV,2018.0,254999.0,25000.0,796 CC,34.2 bhp,auto,df_auto,,,,
Maruti Vitara Brezza LDi Option,2017.0,670000.0,70000.0,1248 CC,88.5 bhp,auto,df_auto,,,,
Fiat Palio 1.2 ELX,2003.0,70000.0,50000.0,,,auto,df_auto,,,,
Maruti Omni 8 Seater BSIV,2012.0,150000.0,35000.0,796 CC,35 bhp,auto,df_auto,,,,
Hyundai i20 1.2 Asta Dual Tone,2018.0,730000.0,2388.0,1197 CC,81.83 bhp,auto,df_auto,,,,
Maruti Vitara Brezza LDi,2017.0,650000.0,16200.0,1248 CC,88.5 bhp,auto,df_auto,,,,
Maruti Alto 800 CNG LXI Optional,2019.0,330000.0,10000.0,796 CC,40.3 bhp,auto,df_auto,,,,
Maruti Alto K10 VXI Airbag,2019.0,366000.0,15000.0,998 CC,67.1 bhp,auto,df_auto,,,,
Hyundai Verna VTVT 1.6 SX Option,2019.0,1149000.0,5000.0,1591 CC,121.3 bhp,auto,df_auto,,,,
Datsun GO D,2016.0,150000.0,42000.0,1198 CC,67 bhp,auto,df_auto,,,,
Tata Safari DICOR 2.2 LX 4x2,2011.0,425000.0,60000.0,2179 CC,138.03 bhp,auto,df_auto,,,,
Maruti 800 Std,2012.0,150000.0,76000.0,796 CC,37 bhp,auto,df_auto,,,,
Jeep Compass 1.4 Limited Plus BSIV,2019.0,2100000.0,5000.0,1368 CC,160.77 bhp,auto,df_auto,,,,
Honda City i VTEC VX,2018.0,925000.0,28900.0,1497 CC,117.3 bhp,auto,df_auto,,,,
Honda City V MT,2013.0,425000.0,86300.0,1497 CC,116.3 bhp,auto,df_auto,,,,
Maruti Swift Dzire VXi AT,2018.0,675000.0,23300.0,1197 CC,83.14 bhp,auto,df_auto,,,,
Maruti Vitara Brezza VDi,2018.0,819999.0,32600.0,1248 CC,88.5 bhp,auto,df_auto,,,,
Maruti Alto K10 VXI,2018.0,390000.0,10300.0,998 CC,67.05 bhp,auto,df_auto,,,,
Toyota Fortuner 4x4 MT,2014.0,1500000.0,77000.0,2982 CC,168.5 bhp,auto,df_auto,,,,
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2013.0,700000.0,99000.0,2494 CC,100 bhp,auto,df_auto,,,,
Mercedes-Benz B Class B180,2014.0,1450000.0,27800.0,2143 CC,120.7 bhp,auto,df_auto,,,,
Honda Amaze S Diesel,2015.0,425000.0,49800.0,1498 CC,98.63 bhp,auto,df_auto,,,,
Mitsubishi Pajero Sport 4X4,2013.0,1090000.0,151000.0,2477 CC,175.56 bhp,auto,df_auto,,,,
Honda City i DTEC S,2015.0,600000.0,54700.0,1498 CC,98.6 bhp,auto,df_auto,,,,
Maruti Ciaz Zeta,2018.0,850000.0,64000.0,1462 CC,103.25 bhp,auto,df_auto,,,,
Honda Jazz VX Diesel,2015.0,525000.0,63000.0,1498 CC,98.6 bhp,auto,df_auto,,,,
Toyota Innova Crysta 2.8 ZX AT BSIV,2016.0,1650000.0,127700.0,2755 CC,171.5 bhp,auto,df_auto,,,,
Toyota Innova 2.5 G (Diesel) 7 Seater,2016.0,950000.0,99000.0,2494 CC,100.6 bhp,auto,df_auto,,,,
Audi A6 2.0 TDI Technology,2013.0,1750000.0,33900.0,1968 CC,174.33 bhp,auto,df_auto,,,,
Toyota Corolla Altis 1.8 VL CVT,2018.0,1590000.0,25000.0,1798 CC,138.03 bhp,auto,df_auto,,,,
Audi A6 2.0 TDI  Design Edition,2013.0,1689999.0,50000.0,1968 CC,187.74 bhp,auto,df_auto,,,,
Mercedes-Benz New C-Class 220 CDI AT,2013.0,1425000.0,59000.0,2143 CC,170 bhp,auto,df_auto,,,,
Tata Manza ELAN Quadrajet BS IV,2011.0,265000.0,120000.0,1248 CC,88.8 bhp,auto,df_auto,,,,
Hyundai i10 Magna,2011.0,190000.0,110000.0,1197 CC,78.9 bhp,auto,df_auto,,,,
Hyundai i20 Asta 1.4 CRDi,2013.0,425000.0,60000.0,1396 CC,88.76 bhp,auto,df_auto,,,,
Maruti Swift Dzire ZDI,2015.0,630000.0,147000.0,1248 CC,74 bhp,auto,df_auto,,,,
Ford Figo 1.2P Titanium MT,2017.0,600000.0,25000.0,1196 CC,86.8 bhp,auto,df_auto,,,,
